"Countries","Global Peace Index"
"United States",2.401
"United Kingdom",1.801
"Germany",1.547
"France",1.892
"Japan",1.369
"Spain",1.699
"Italy",1.754
"Portugal",1.274
"Greece",1.933
"Ireland",1.39
"United Arab Emirates",1.847
"Afghanistan",3.574
"Albania",1.821
"Armenia",2.294
"Angola",2.012
"Argentina",1.989
"Austria",1.291
"Australia",1.419
"Azerbaijan",2.425
"Bosnia and Herzegovina",2.019
"Bangladesh",2.128
"Belgium",1.533
"Burkina Faso",2.176
"Bulgaria",1.607
"Bahrain",2.357
"Burundi",2.52
"Benin",1.986
"Bolivia",2.044
"Brazil",2.271
"Bhutan",1.506
"Botswana",1.676
"Belarus",2.115
"Canada",1.327
"Democratic Republic of the Congo",3.218
"Central African Republic",3.296
"Republic of the Congo",2.323
"Switzerland",1.383
"Ivory Coast",2.203
"Chile",1.634
"Cameroon",2.538
"China",2.217
"Colombia",2.661
"Costa Rica",1.706
"Cuba",2.073
"Cyprus",1.914
"Czech Republic",1.375
"Djibouti",2.207
"Denmark",1.316
"Dominican Republic",2.041
"Algeria",2.219
"Ecuador",1.98
"Estonia",1.727
"Egypt",2.521
"Eritrea",2.504
"Ethiopia",2.434
"Finland",1.488
"Gabon",2.112
"Georgia",2.122
"Ghana",1.796
"The Gambia",1.908
"Guinea",2.125
"Equatorial Guinea",1.957
"Guatemala",2.264
"Guinea-Bissau",2.237
"Guyana",2.075
"Honduras",2.341
"Croatia",1.645
"Haiti",2.052
"Hungary",1.54
"Indonesia",1.785
"Israel",2.735
"India",2.605
"Iraq",3.369
"Iran",2.542
"Iceland",1.072
"Jamaica",2.038
"Jordan",2.012
"Kenya",2.3
"Kyrgyzstan",2.105
"Cambodia",2.066
"North Korea",2.921
"South Korea",1.867
"Kuwait",1.794
"Kazakhstan",1.932
"Laos",1.801
"Lebanon",2.8
"Sri Lanka",1.986
"Liberia",1.889
"Lesotho",2.167
"Lithuania",1.728
"Latvia",1.718
"Libya",3.285
"Morocco",2.07
"Moldova",1.951
"Montenegro",1.939
"Madagascar",1.867
"North Macedonia",1.933
"Mali",2.71
"Burma - Myanmar",2.393
"Mongolia",1.792
"Mauritania",2.333
"Mauritius",1.562
"Malawi",1.779
"Mexico",2.6
"Malaysia",1.529
"Mozambique",2.099
"Namibia",1.892
"Niger",2.394
"Nigeria",2.898
"Nicaragua",2.312
"Netherlands",1.53
"Norway",1.536
"Nepal",2.003
"New Zealand",1.221
"Oman",1.953
"Panama",1.804
"Peru",2.016
"Papua New Guinea",2.118
"Philippines",2.516
"Pakistan",3.072
"Poland",1.654
"State of Palestine",2.608
"Paraguay",2.055
"Qatar",1.696
"Romania",1.606
"Serbia",1.812
"Russia",3.093
"Rwanda",2.014
"Saudi Arabia",2.409
"Sudan",2.995
"Sweden",1.533
"Singapore",1.347
"Slovenia",1.355
"Slovakia",1.55
"Sierra Leone",1.822
"Senegal",1.883
"Somalia",3.3
"South Sudan",3.526
"El Salvador",2.262
"Syria",3.566
"Swaziland",1.986
"Chad",2.522
"Togo",2.205
"Thailand",2.278
"Tajikistan",2.196
"Timor-Leste",1.805
"Turkmenistan",2.265
"Tunisia",2.035
"Turkey",3.015
"Trinidad and Tobago",2.094
"Taiwan",1.725
"Tanzania",1.86
"Ukraine",2.95
"Uganda",2.196
"Uruguay",1.711
"Uzbekistan",2.166
"Venezuela",2.671
"Vietnam",1.877
"Yemen",3.412
"South Africa",2.399
"Zambia",1.805
"Zimbabwe",2.463
