Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"GDP, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186223151,2360309314,2499151038,2681781306,2901792038,2975704821,3010990431,3223171079,3287376272,3328075281,3581561121,3475143736,3361379801,3427785448,3698976911,3743895394,3783229007,3851335674,3847842214,3443058925,3316181185,3430458604,3383466020,3525511785,3555416156,3539395957,3531919864,3578912448,,
Afghanistan,AFG,"GDP, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28768540780,31309458221,31752210899,35317893638,37210015619,42354791279,44017209985,53432723790,61106967465,61367499950,69193259719,73068597518,75059383144,76148730971,77869931554,79945392646,80769357876,
Angola,AGO,"GDP, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68226795453,68903168136,64880407746,49319868718,49980441007,57477507172,65262473270,70009846584,73294111017,74893014513,77180714684,80426934430,91417827169,94151083084,1.04463E+11,1.20163E+11,1.34039E+11,1.52818E+11,1.69882E+11,1.71341E+11,1.79666E+11,1.85904E+11,2.01785E+11,2.11782E+11,2.21996E+11,2.2409E+11,2.18309E+11,2.17987E+11,2.13337E+11,
Albania,ALB,"GDP, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16263083322,11709071692,10867527723,11906399439,12894971900,14612883038,15942655313,14201719890,15455744213,17447973681,18660614156,20207592137,21125008867,22293232584,23521589408,24822313264,26286850587,27858799530,29948201015,30951485931,32098823912,32915842548,33382432650,33716920856,34315223156,35076592671,36239313232,37624046896,39183653161,
Andorra,AND,"GDP, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14436E+12,2.19357E+12,2.30083E+12,2.36169E+12,2.43069E+12,2.49485E+12,2.61043E+12,2.71471E+12,2.85737E+12,2.91274E+12,3.07055E+12,3.12458E+12,3.14545E+12,3.30923E+12,3.59401E+12,3.79361E+12,4.02664E+12,4.21414E+12,4.46494E+12,4.50495E+12,4.71761E+12,4.89028E+12,5.18832E+12,5.34557E+12,5.48384E+12,5.68287E+12,5.88323E+12,5.95482E+12,6.09747E+12,
United Arab Emirates,ARE,"GDP, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03349E+11,2.05098E+11,2.11958E+11,2.14632E+11,2.29433E+11,2.44777E+11,2.5897E+11,2.80181E+11,2.80999E+11,2.89154E+11,3.20535E+11,3.2502E+11,3.32929E+11,3.62229E+11,3.96881E+11,4.1615E+11,4.57088E+11,4.71644E+11,4.86698E+11,4.61181E+11,4.68572E+11,5.01046E+11,5.23516E+11,5.49971E+11,5.73533E+11,6.02817E+11,6.2127E+11,6.24319E+11,6.35097E+11,
Argentina,ARG,"GDP, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61387E+11,5.03526E+11,5.43492E+11,5.88097E+11,6.22419E+11,6.0471E+11,6.38131E+11,6.8989E+11,7.16452E+11,6.92196E+11,6.86735E+11,6.56458E+11,5.8494E+11,6.36632E+11,6.94117E+11,7.55558E+11,8.16359E+11,8.89893E+11,9.25998E+11,8.71193E+11,9.59405E+11,1.01701E+12,1.00657E+12,1.03078E+12,1.00488E+12,1.03232E+12,1.01085E+12,1.03782E+12,1.01207E+12,
Armenia,ARM,"GDP, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18344742185,16198407627,9427472794,8597855302,9062139728,9687427225,10255633655,10596231422,11369756315,11744958273,12437910811,13626557358,15423396163,17588963609,19430148503,22124276791,25044239620,28487622704,30453268672,26144134614,26719305575,27975112937,29989321069,30978968665,32094211537,33121226305,33187468758,35676528915,37531708419,
American Samoa,ASM,"GDP, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
