"reference_no","samp_country","aff_country"
73919,"Russia","Russia"
73541,"Myanmar (Burma)","Czech Republic"
73933,"Lesotho","South Africa"
73248,"Antarctica","Argentina"
73922,"Tunisia","France"
73540,"USA","USA"
72678,"Myanmar (Burma)","Spain"
71568,"Greece","Greece"
74223,"India","India"
73502,"Venezuela","Brazil"
71500,"Chile","Chile"
73057,"Poland","Russia"
74467,"Poland","Russia"
74990,"Poland","Russia"
74450,"Mexico","Mexico"
74068,"Italy","Italy"
73542,"Australia","Brazil"
73542,"USA","Brazil"
71580,"UK","Switzerland"
74328,"Switzerland","Switzerland"
72914,"USA","USA"
74109,"Argentina","Argentina"
73874,"Canada","Canada"
72487,"Canada","Canada"
73026,"Russia","Russia"
74065,"Kyrgyzstan","Russia"
74065,"Russia","Russia"
71974,"Argentina","Argentina"
73334,"Argentina","Argentina"
71813,"France","France"
71707,"Mongolia","Russia"
72371,"Russia","Russia"
72986,"Russia","Russia"
74895,"UK","Russia"
74895,"Japan","Russia"
74895,"Russia","Russia"
73353,"Argentina","Argentina"
74204,"Myanmar (Burma)","China"
73338,"Argentina","Argentina"
74067,"Myanmar (Burma)","USA"
73875,"UK","UK"
73962,"Argentina","Argentina"
75085,"Myanmar (Burma)","Germany"
74447,"Netherlands","Switzerland"
73292,"Turkey","USA"
72928,"Australia","UK"
73301,"Argentina","UK"
73039,"USA","USA"
74048,"Colombia","Switzerland"
72029,"Germany","USA"
74218,"Brazil","Brazil"
74893,"China","China"
74064,"Russia","Russia"
71912,"Peru","Italy"
74701,"Russia","Australia"
74701,"Ukraine","Australia"
74364,"USA","USA"
73589,"USA","Germany"
71504,"Netherlands","USA"
73428,"Belgium","Italy"
73474,"Italy","Italy"
73240,"USA","USA"
73240,"Canada","USA"
74894,"Lesotho","UK"
72961,"USA","USA"
72464,"Bulgaria","Bulgaria"
74281,"Russia","Denmark"
74281,"Denmark","Denmark"
74327,"Argentina","Argentina"
71601,"Congo - Kinshasa","Belgium"
73257,"Bolivia","Argentina"
73128,"Peru","Italy"
74859,"Myanmar (Burma)","USA"
71848,"France","France"
74898,"USA","USA"
72960,"Germany","Germany"
73889,"Canada","Canada"
73430,"USA","USA"
74362,"Argentina","Argentina"
72722,"USA","USA"
73070,"Hungary","Hungary"
72117,"Poland","Latvia"
72426,"Russia","Latvia"
72426,"Ukraine","Latvia"
72720,"Russia","Latvia"
73342,"Ukraine","Latvia"
72238,"USA","USA"
73550,"Argentina","Argentina"
73550,"Bolivia","Argentina"
73066,"Colombia","Panama"
73635,"Colombia","Colombia"
72697,"Colombia","Colombia"
72626,"USA","USA"
71508,"Argentina","Argentina"
73165,"Argentina","Argentina"
73124,"Myanmar (Burma)","China"
74152,"Myanmar (Burma)","China"
73867,"France","France"
73867,"Russia","France"
73821,"Italy","Italy"
73295,"Italy","Italy"
73025,"Chile","Argentina"
74072,"UK","UK"
73965,"Argentina","Argentina"
73169,"France","Slovakia"
73169,"Germany","Slovakia"
73108,"France","China"
73469,"Brazil","Brazil"
72959,"Indonesia","France"
72116,"China","China"
72689,"Myanmar (Burma)","China"
73310,"Myanmar (Burma)","China"
74598,"Myanmar (Burma)","China"
74706,"China","China"
74622,"Myanmar (Burma)","China"
74272,"Egypt","USA"
73931,"USA","UK"
74919,"Argentina","Argentina"
74919,"Antarctica","Argentina"
71691,"USA","USA"
73239,"Venezuela","Brazil"
74392,"USA","USA"
74293,"Estonia","USA"
71756,"Italy","Italy"
71817,"Peru","Italy"
74106,"Italy","Italy"
74047,"Peru","Italy"
73435,"Spain","UK"
74155,"Brazil","Brazil"
72054,"USA","USA"
73795,"Kenya","USA"
73211,"USA","USA"
74163,"Spain","Argentina"
73043,"Bolivia","USA"
73041,"Peru","USA"
73392,"Bolivia","Argentina"
72682,"Myanmar (Burma)","China"
74890,"France","Germany"
73332,"Mexico","Mexico"
73693,"China","China"
73885,"Romania","Spain"
73885,"Spain","Spain"
71509,"Antarctica","USA"
74132,"Antarctica","Ukraine"
74309,"Myanmar (Burma)","USA"
72072,"Brazil","Brazil"
73845,"Afghanistan","France"
74151,"Niger","France"
74539,"India","France"
72357,"Netherlands","Belgium"
73337,"Argentina","Argentina"
72056,"Brazil","Brazil"
73479,"Spain","Italy"
71879,"Canada","Canada"
73943,"Argentina","Argentina"
74636,"Russia","USA"
71685,"Italy","Italy"
72666,"China","China"
72998,"Myanmar (Burma)","Poland"
74131,"Myanmar (Burma)","Poland"
71842,"USA","USA"
74250,"Myanmar (Burma)","China"
73467,"Germany","Russia"
74066,"Japan","Japan"
73294,"Brazil","Brazil"
71992,"Germany","Russia"
74009,"Myanmar (Burma)","Russia"
72050,"USA","USA"
73106,"Chile","USA"
74089,"Turkey","Turkey"
71930,"Australia","USA"
72549,"USA","USA"
73618,"Germany","Switzerland"
74512,"Brazil","Brazil"
74050,"Argentina","Argentina"
74993,"France","France"
74516,"USA","USA"
73727,"China","China"
