reference_no,record_type,ref_type,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,publisher,pubcity,pubvol,pubno,firstpage,lastpage,publication_type,language,doi
4774,ref,occ,H. B. S.,Cooke,,,,1994,Personal communication regarding the Omo Suidae,.,,NA,NA,,,,,,,
5922,ref,occ,,Currie,,,,1994,,.,,NA,NA,,,,,,,
5940,ref,occ,,Smith,,,,1996,,.,,NA,NA,,,,,,,
5276,ref,occ,N. E.,Todd,,,,1996,"Dissertation, personal communication",.,,NA,NA,,,,,,,
5455,ref,occ,,Van Danmme,,,,1995,,.,,NA,NA,,,,,,,
5221,ref,occ,F.,Wendorf,R.,Schild,,1980,Prehistory of the Eastern Sahara,.,,NA,NA,,,,,,English,
4008,ref,occ,J. G.,Gehling,,,,1993,The earliest known poriferans: bath tub sponges from the Ediacara fauna of South Australia,1993 California Paleontology Abstracts,,NA,NA,14,4,6,7,abstract,English,
8186,ref,occ,J. F.,Rigby,,,,1964,"The Lower Gondwana flora of the Illawarra coal measures, Wollongong, New South Wales, Australia",22nd International Geological Congress Report,,NA,NA,10,,17,25,journal article,English,
7781,ref,occ,M. A.,Gandolfo,K. C.,Nixon,W. L. Crepet,2002,Triuridaceae fossil flowers from the Upper Cretaceous of New Jersey,89:1940-1957,,NA,NA,89,,1940,1957,journal article,English,
11818,ref,occ,J. W.,Gregory,,,,1900,The fossil corals of Christmas Island,"A monograph of Christmas Island, British Museum (Natural History)",,NA,NA,,,206,225,serial monograph,English,
13171,ref,occ,D. J.,Chure,,,,1995,"A reassessment of the gigantic theropod Saurophagus maximus from the Morrison Formation (Upper Jurassic) of Oklahoma, USA","A. Sun and Y. Wang (eds.), Sixth Symposium on Mesozoic Terrestrial Ecosystems and Biota, Short Papers, China Ocean Press, Beijing",,NA,NA,,,103,106,journal article,English,
13355,ref,occ,R. H.,Breuninger,,,,1976,Palaeoaplysina (Hydrozoan?) carbonate buildups from Upper Paleozoic of Idaho,AAPG Bulletin,,NA,NA,60,,584,607,journal article,English,
13354,ref,occ,J. G.,Frost,,,,1975,"Winterset algal-bank complex, Pennsylvanian, eastern Kansas",AAPG Bulletin,,NA,NA,59,,265,291,journal article,English,
6803,ref,occ,R. W.,Scott,,,,1979,"Depositional model of Early Cretaceous coral-algal-rudist reefs, Arizona",AAPG Bulletin,,NA,NA,63,7,1108,1127,journal article,English,
