"","reference_no","pubyr","author1last","author2last","reftitle","doi","publication_type","complete_aff","grid_code","samp_country","aff_country1","aff_country2","aff_country3","aff_country4","aff_country5","aff_country6","aff_country7","aff_country8","aff_country9","aff_country10","aff_country11","aff_country12","aff_country13","aff_country14","aff_country15","aff_country16"
"9","71566",2020,"Agiadi","","The fossil otolith record of fishes (Vertebrata: Teleostei) in Greece","","book chapter",NA,"","Greece","Unknown","","","","","","","","","","","","","","",""
"103","73036",2020,"Carpenter","Parris","An additional bird fossil from the Fisher/Sullivan site, Eocene of Virginia, U.S.A","","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"104","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"105","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","antarctica","Unknown","","","","","","","","","","","","","","",""
"106","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"107","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","France","Unknown","","","","","","","","","","","","","","",""
"108","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","India","Unknown","","","","","","","","","","","","","","",""
"109","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Iran","Unknown","","","","","","","","","","","","","","",""
"110","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Italy","Unknown","","","","","","","","","","","","","","",""
"111","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Morocco","Unknown","","","","","","","","","","","","","","",""
"112","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","South Africa","Unknown","","","","","","","","","","","","","","",""
"113","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Spain","Unknown","","","","","","","","","","","","","","",""
"114","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Switzerland","Unknown","","","","","","","","","","","","","","",""
"115","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","United Kingdom","Unknown","","","","","","","","","","","","","","",""
"116","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"179","72872",2020,"Ducrocq","","Taxonomic revision of Anthracokeryx thailandicus Ducrocq, 1999 (Anthracotheriidae, Microbunodontinae) from the Upper Eocene of Thailand","10.19615/j.cnki.1000-3118.200618","journal article",NA,"","Thailand","Unknown","","","","","","","","","","","","","","",""
"255","63217",2020,"Hendy","","Unpublished taxonomic backbone for Eastern Pacific Invertebrate Communities of the Cenozoic (EPICC) Thematic Collections Network","","",NA,"","Ecuador","Unknown","","","","","","","","","","","","","","",""
"256","63217",2020,"Hendy","","Unpublished taxonomic backbone for Eastern Pacific Invertebrate Communities of the Cenozoic (EPICC) Thematic Collections Network","","",NA,"","Mexico","Unknown","","","","","","","","","","","","","","",""
"257","63217",2020,"Hendy","","Unpublished taxonomic backbone for Eastern Pacific Invertebrate Communities of the Cenozoic (EPICC) Thematic Collections Network","","",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"362","74137",2020,"Lofgren","Hutchison","Review of Paleogene vertebrates and invertebrates from the Goler Formation of California and their biostratigraphic and paleogeographic significance","","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"390","73546",2020,"Manzuetti","Ubilla","The pampas fox Lycalopex gymnocercus (Fischer, 1814) (Carnivora, Canidae) in the late Pleistocene of northern Uruguay","10.5710/AMGH.18.08.2020.3369","journal article",NA,"","Uruguay","Unknown","","","","","","","","","","","","","","",""
"402","74099",2020,"McLeod","","A fossil right whale from the Late Miocene Marine diatomites near Lompoc, Santa Barbara County, California, U.S.A.","","abstract",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"417","75004",2020,"Muona","","The late Cretaceous amber Eucnemidae fossils from Myanmar","","journal article","Unknown","","Myanmar (Burma)","Unknown","","","","","","","","","","","","","","",""
"500","73837",2020,"Rauhut","Schwermann","The oldest record of the genus Torvosaurus (Theropoda: Megalosauridae) from the Callovian Ornatenton Formation of north-western Germany","","journal article",NA,"","Germany","Unknown","","","","","","","","","","","","","","",""
"505","74134",2020,"Reynolds","","Two fossil accumulations in the Upper Barstow Formation, Mud Hills, Mojave Desert, CA","","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"523","72977",2020,"Sadowski","Callahan","A large longirostrine crocodylian from the Paleocene Vincentown Formation in Burlington County, New Jersey and associated invertebrate fauna","","journal article","","","United States","Unknown","","","","","","","","","","","","","","",""
"570","71994",2020,"Sterli","Vlachos","The diversity of the fossil record of turtles (Testudinidata) from Chubut province (Argentina) and its significance in understanding the evolution of turtles in Argentina and South America","in prep","",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"613","72902",2020,"van Vliet","Bosselaers","Eocene cetaceans from the Helmstedt region, Germany, with some remarks on Platyosphys, Basilotritus and Pachycetus","","journal article",NA,"","Germany","Unknown","","","","","","","","","","","","","","",""
"614","72902",2020,"van Vliet","Bosselaers","Eocene cetaceans from the Helmstedt region, Germany, with some remarks on Platyosphys, Basilotritus and Pachycetus","","journal article",NA,"","Peru","Unknown","","","","","","","","","","","","","","",""
"621","73547",2020,"Vezzosi","Rotti","â€˜A very lazy deerâ€™: revision of the cotype of Nothropus carcaranensis (Mammalia, Xenarthra)","10.5710/AMGH.30.07.2020.3368","journal article",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"630","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","","Department of Geoscience, University of Calgary, Calgary, AB, T2N 1N4, Canada","","Argentina","Unknown","","","","","","","","","","","","","","",""
"631","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","","","","antarctica","Unknown","","","","","","","","","","","","","","",""
"632","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","","b","","Australia","Unknown","","","","","","","","","","","","","","",""
"633","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","","Royal Tyrrell Museum of Palaeontology, Drumheller, AB, T0J 0Y0, Canada","","Austria","Unknown","","","","","","","","","","","","","","",""
"634","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Brazil","Unknown","","","","","","","","","","","","","","",""
"635","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"636","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Chile","Unknown","","","","","","","","","","","","","","",""
"637","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"638","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Czechia","Unknown","","","","","","","","","","","","","","",""
"639","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Estonia","Unknown","","","","","","","","","","","","","","",""
"640","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","France","Unknown","","","","","","","","","","","","","","",""
"641","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Germany","Unknown","","","","","","","","","","","","","","",""
"642","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Ghana","Unknown","","","","","","","","","","","","","","",""
"643","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Greenland","Unknown","","","","","","","","","","","","","","",""
"644","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","India","Unknown","","","","","","","","","","","","","","",""
"645","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Ireland","Unknown","","","","","","","","","","","","","","",""
"646","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Italy","Unknown","","","","","","","","","","","","","","",""
"647","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Japan","Unknown","","","","","","","","","","","","","","",""
"648","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Kazakhstan","Unknown","","","","","","","","","","","","","","",""
