"reference_no","record_type","ref_type","author1init","author1last","author2init","author2last","otherauthors","pubyr","reftitle","pubtitle","editors","publisher","pubcity","pubvol","pubno","firstpage","lastpage","publication_type","language","doi"
69007,"ref","occ","M. J.","Arrouy","C.","Gaucher","D. G. PoirÃ©, S. Xiao, L. E. GÃ³mez Peral, L. V. Warren, N. Bykova, F. Quaglio",2019,"A new record of late Ediacaran acritarchs from La providencia group (Tandilia System, Argentina) and its biostratigraphical significance","Journal of South American Earth Sciences",NA,NA,NA,NA,NA,NA,NA,"journal article","English","10.1016/j.jsames.2019.05.015"
68469,"ref","occ","I. Y.","Bolotskii","Y. L.","Bolotskii","A. P. Sorokin",2019,"The First Find of an Ungual Phalanx of a Dromaeosaurid Dinosaur (Dinosauria: Dromaeosauridae) from the Blagoveshchensk Area of Late Cretaceous Dinosaurs (Amur Region, Russia)","Doklady Earth Sciences","V. E. Fortov",NA,NA,"484","1","18","20","journal article","English","10.1134/S1028334X19010100"
41598,"ref","occ","C.","Brauckmann","D. R.","Chestnut","J. R. Jennings",1993,"New spilapterid insect from the Breathitt Formation (Middle Pennsylvanian, Westphalian B) of eastern Kentucky, USA","Neues Jahrbuch fÃ¼r Geologie und PalÃ¤ontologie, Monatshefte",NA,NA,NA,"1993","11","641","647","journal article","English",NA
60059,"ref","occ","F.","BrissÃ³n Egli","F. L.","AgnolÃ­n","F. E. Novas",2016,"A new specimen of Velocisaurus unicus (Theropoda, Abelisauroidea) from the Paso CÃ³rdoba locality (Santonian), RÃ­o Negro, Argentina","Journal of Vertebrate Paleontology",NA,NA,NA,"36","4","e1119156:1","12","journal article","English","10.1080/02724634.2016.1119156"
30140,"ref","occ","E.","Buffetaut","D.","Grigorescu","Z. Csiki",2003,"Giant azhdarchid pterosaurs from the terminal Cretaceous of Transylvania (western Romania)","Palaeobiology and Evolution of Pterosaurs; Geological Society, London, Special Publications","E. Buffetaut, J.-M. Mazin",NA,NA,"217",NA,"91","104","book/book chapter","English",NA
19488,"ref","occ","M. L.","Casanovas-Cladellas","J. V.","SantafÃ©-Llopis","A. Isidro-Llorens",1993,"Pararhabdodon isonensis n. gen. n. sp. (Dinosauria). Estudio mofolÃ³gico, radio-tomogrÃ¡fico y consideraciones biomecanicas [Pararhabdodon isonensis n. gen. n. sp. (Dinosauria). Morphological, radio-tomographic analysis and biomechanical considerations]","Paleontologia i EvoluciÃ³",NA,NA,NA,"26-27",NA,"121","131","journal article","Spanish",NA
46352,"ref","occ","Z.","Csiki",NA,NA,NA,1999,"New evidence of armoured titanosaurids in the Late Cretaceous - Magyarosaurus dacus from the Hateg Basin (Romania)","Oryctos",NA,NA,NA,"2",NA,"93","99","journal article","English",NA
45719,"ref","occ","T. M.","Cullen","M. J.","Ryan","C. Schroder-Adams, P. J. Currie, Y. Kobayashi",2013,"An ornithomimid (Dinosauria) bonebed from the Late Cretaceous of Alberta, with implications for the behaviour, classification, and stratigraphy of North American ornithomimids","PLoS ONE",NA,NA,NA,"8","3","e58853:1","9","journal article","English","doi:10.1371/journal.pone.0058853"
70469,"ref","occ","L.","de Bonis","G. D.","Koufos","S. Sen",1997,"A giraffid from the middle Miocene of the island of Chios, Greece","Palaeontology",NA,NA,NA,"40","1","121","133","journal article","English",NA
44428,"ref","occ","S.","de Valais","V.","Filippi","S. Molinas, R. Souberlich",2012,"DescripciÃ³n de una huella de terÃ³podo de la FormaciÃ³n Misiones: primer fÃ³sil mesozoico fidedigno de Paraguay [Description of a theropod footprint from the Misiones Formation: first reliable Mesozoic fossil from Paraguay]","Andean Geology",NA,NA,NA,"39","3","541","547","journal article","English","10.5027/andgeoV39n3-a09"
