"reference_no","samp_country","aff_country","samp_code","aff_code"
71813,"France","France","FRA","FRA"
71707,"Mongolia","Russia","MNG","RUS"
72371,"Russia","Russia","RUS","RUS"
72986,"Russia","Russia","RUS","RUS"
74895,"United Kingdom","Russia","GBR","RUS"
74895,"Japan","Russia","JPN","RUS"
74895,"Russia","Russia","RUS","RUS"
73353,"Argentina","Argentina","ARG","ARG"
74204,"Myanmar (Burma)","China","MMR","CHN"
73338,"Argentina","Argentina","ARG","ARG"
74067,"Myanmar (Burma)","United States","MMR","USA"
